like_count,quote_count,reply_count,retweet_count,tweet_id
0.0,0.0,0.0,1625.0,840761248237133825
0.0,0.0,0.0,14643.0,840728873075638272
165.0,0.0,2.0,2.0,840698636975636481
11511.0,28.0,49.0,892.0,840696689258311684
8448.0,50.0,27.0,1625.0,840632337062862849
15371.0,172.0,89.0,4193.0,840370681858686976
17950.0,174.0,60.0,5239.0,840268004936019968
12566.0,83.0,64.0,2078.0,839990271299457024
25642.0,180.0,92.0,7100.0,839549326359670784
0.0,0.0,0.0,133.0,839290600511926273
25292.0,615.0,208.0,5960.0,839239871831150596
18412.0,82.0,59.0,3670.0,838952994649550848
10447.0,61.0,34.0,1861.0,838921590096166913
0.0,0.0,0.0,31.0,838916489579200512
0.0,0.0,0.0,10071.0,838831947270979586
10275.0,42.0,44.0,1234.0,838561493054533637
21029.0,115.0,79.0,4359.0,838476387338051585
0.0,0.0,0.0,9238.0,838201503651401729
1572.0,8.0,8.0,304.0,838150277551247360
133.0,0.0,5.0,1.0,838085839343206401
16510.0,103.0,79.0,2856.0,838083903487373313
31907.0,178.0,89.0,7175.0,837820167694528512
3618.0,18.0,13.0,409.0,837482249356513284
12020.0,47.0,37.0,2068.0,837471256429613056
,,,,837366284874571778
15099.0,61.0,70.0,2185.0,837110210464448512
,,,,837012587749474308
11984.0,80.0,47.0,2123.0,836989968035819520
18171.0,311.0,79.0,4276.0,836753516572119041
11873.0,59.0,93.0,2030.0,836677758902222849
0.0,0.0,0.0,509.0,836648853927522308
0.0,0.0,0.0,25172.0,836397794269200385
13937.0,91.0,72.0,2753.0,836380477523124226
20008.0,112.0,59.0,3990.0,836260088725786625
17939.0,87.0,45.0,3906.0,836001077879255040
0.0,0.0,0.0,7452.0,835685285446955009
16693.0,123.0,58.0,3310.0,835574547218894849
0.0,0.0,0.0,1551.0,835536468978302976
0.0,0.0,0.0,19233.0,835309094223372289
15472.0,166.0,77.0,2751.0,835297930240217089
7253.0,33.0,27.0,1551.0,835264098648616962
1993.0,5.0,9.0,63.0,835246439529840640
24629.0,209.0,91.0,5317.0,835172783151792128
21007.0,82.0,123.0,2770.0,835152434251116546
10130.0,47.0,50.0,1497.0,834931633769889797
20271.0,392.0,120.0,5124.0,834786237630337024
12846.0,47.0,32.0,2322.0,834574053763584002
0.0,0.0,0.0,9803.0,834477809192075265
9050.0,52.0,53.0,1554.0,834458053273591808
19307.0,171.0,75.0,4344.0,834209720923721728
14866.0,123.0,127.0,3374.0,834167344700198914
9469.0,52.0,85.0,1972.0,834089966724603904
12271.0,59.0,41.0,2046.0,834086379323871233
12657.0,68.0,31.0,2218.0,833863086058651648
17112.0,86.0,66.0,3497.0,833826103416520705
0.0,0.0,0.0,205.0,833732339549220864
19732.0,123.0,98.0,3009.0,833722901757046785
14047.0,89.0,90.0,1898.0,833479644947025920
19034.0,160.0,95.0,4457.0,833124694597443584
12469.0,223.0,75.0,2026.0,832998151111966721
0.0,0.0,0.0,38.0,832769181346996225
15889.0,115.0,45.0,3333.0,832757312314028032
11167.0,34.0,32.0,2672.0,832682457690300417
2747.0,53.0,24.0,485.0,832645525019123713
14935.0,70.0,46.0,2574.0,832636094638288896
11262.0,100.0,64.0,2041.0,832397543355072512
16114.0,114.0,81.0,2933.0,832369877331693569
10674.0,68.0,41.0,2151.0,832273440279240704
0.0,0.0,0.0,5743.0,832215909146226688
0.0,0.0,0.0,8611.0,832215726631055365
59.0,0.0,2.0,2.0,832088576586297345
0.0,0.0,0.0,8852.0,832040443403784192
16805.0,455.0,158.0,4314.0,832032802820481025
22508.0,416.0,184.0,5673.0,831939777352105988
319.0,3.0,1.0,34.0,831926988323639298
25899.0,446.0,121.0,5998.0,831911600680497154
9810.0,64.0,41.0,1691.0,831670449226514432
6699.0,53.0,35.0,1792.0,831650051525054464
8473.0,50.0,22.0,2167.0,831552930092285952
8774.0,56.0,35.0,1448.0,831322785565769729
6186.0,62.0,51.0,1040.0,831315979191906304
11121.0,90.0,44.0,2275.0,831309418084069378
